1 2 3 7 0
1 2 3 8 0
1 2 3 14 0
1 2 3 18 0
1 2 3 26 0
1 2 3 30 0
1 2 6 0
1 2 7 10 0
1 2 7 11 0
1 2 7 15 0
1 2 7 16 0
1 2 7 17 0
1 2 7 23 0
1 2 7 27 0
1 2 8 10 0
1 2 8 11 0
1 2 8 15 0
1 2 8 16 0
1 2 8 17 0
1 2 8 23 0
1 2 8 27 0
1 2 10 14 0
1 2 10 18 0
1 2 10 26 0
1 2 10 30 0
1 2 11 14 0
1 2 11 18 0
1 2 11 26 0
1 2 11 30 0
1 2 14 15 0
1 2 14 16 0
1 2 14 17 0
1 2 14 23 0
1 2 14 27 0
1 2 15 18 0
1 2 15 26 0
1 2 15 30 0
1 2 16 18 0
1 2 16 26 0
1 2 16 30 0
1 2 17 18 0
1 2 17 26 0
1 2 18 23 0
1 2 18 27 0
1 2 23 26 0
1 2 23 30 0
1 2 26 27 0
1 2 27 30 0
1 2 29 0
1 3 5 7 0
1 3 5 8 0
1 3 5 14 0
1 3 5 18 0
1 3 5 26 0
1 3 5 29 0
1 3 5 30 0
1 3 6 15 0
1 3 7 8 14 0
1 3 7 8 16 0
1 3 7 8 20 0
1 3 7 8 26 0
1 3 7 14 21 0
1 3 7 14 27 0
1 3 7 14 29 0
1 3 7 15 0
1 3 7 16 21 0
1 3 7 16 27 0
1 3 7 16 29 0
1 3 7 20 21 0
1 3 7 20 27 0
1 3 7 20 29 0
1 3 7 21 26 0
1 3 7 26 27 0
1 3 7 26 29 0
1 3 8 9 14 0
1 3 8 9 15 0
1 3 8 9 16 0
1 3 8 9 20 0
1 3 8 9 26 0
1 3 8 11 14 0
1 3 8 11 15 0
1 3 8 11 16 0
1 3 8 11 20 0
1 3 8 11 26 0
1 3 8 14 18 0
1 3 8 14 25 0
1 3 8 14 28 0
1 3 8 15 28 0
1 3 8 16 18 0
1 3 8 16 25 0
1 3 8 16 28 0
1 3 8 18 20 0
1 3 8 18 30 0
1 3 8 20 25 0
1 3 8 20 28 0
1 3 8 25 26 0
1 3 8 26 28 0
1 3 8 28 30 0
1 3 9 14 15 0
1 3 9 14 21 0
1 3 9 14 27 0
1 3 9 14 29 0
1 3 9 15 26 0
1 3 9 15 29 0
1 3 9 16 29 0
1 3 9 20 29 0
1 3 9 21 26 0
1 3 9 26 27 0
1 3 9 26 29 0
1 3 11 14 15 0
1 3 11 14 21 0
1 3 11 14 27 0
1 3 11 14 29 0
1 3 11 15 26 0
1 3 11 15 29 0
1 3 11 15 30 0
1 3 11 16 29 0
1 3 11 20 29 0
1 3 11 21 26 0
1 3 11 26 27 0
1 3 11 26 29 0
1 3 14 15 28 0
1 3 14 18 27 0
1 3 14 21 25 0
1 3 14 21 28 0
1 3 14 25 27 0
1 3 14 25 29 0
1 3 14 27 28 0
1 3 14 28 29 0
1 3 15 18 0
1 3 15 25 26 0
1 3 15 25 29 0
1 3 15 26 28 0
1 3 15 28 29 0
1 3 16 18 27 0
1 3 16 25 29 0
1 3 16 28 29 0
1 3 18 20 27 0
1 3 20 25 29 0
1 3 20 28 29 0
1 3 21 25 26 0
1 3 21 26 28 0
1 3 25 26 27 0
1 3 25 26 29 0
1 3 26 27 28 0
1 3 26 28 29 0
1 5 6 0
1 5 7 10 13 0
1 5 7 11 13 0
1 5 7 11 25 0
1 5 7 13 16 0
1 5 7 13 23 0
1 5 7 13 27 0
1 5 7 13 29 0
1 5 7 16 25 0
1 5 7 17 0
1 5 7 23 25 0
1 5 7 25 27 0
1 5 7 25 29 0
1 5 8 11 21 25 0
1 5 8 11 25 28 0
1 5 8 17 0
1 5 8 21 23 25 0
1 5 8 21 25 27 0
1 5 8 23 25 28 0
1 5 8 25 27 28 0
1 5 10 13 18 28 0
1 5 10 13 26 28 0
1 5 10 30 0
1 5 11 13 18 28 0
1 5 11 13 26 28 0
1 5 11 14 25 28 0
1 5 11 25 26 28 0
1 5 11 30 0
1 5 13 15 18 0
1 5 13 15 26 0
1 5 13 15 29 0
1 5 13 16 18 28 0
1 5 13 16 26 28 0
1 5 13 18 23 28 0
1 5 13 18 27 28 0
