"","nerr","nfault","system","iteration","wasted_effort_quality_fair","wasted_effort"
"7",1,2,1,4,0.333333333333333,2
"19",1,2,1,10,1,0
"35",1,2,2,8,0.214285714285714,5.5
"37",1,2,2,9,0.714285714285714,2
"77",1,2,4,9,1,0
"81",1,2,5,1,0.611111111111111,3.5
"91",1,2,5,6,0.777777777777778,2
"127",1,2,7,4,0.75,2.5
"131",1,2,7,6,0.85,1.5
"177",1,2,9,9,0.875,0.5
"189",1,2,10,5,0.9375,0.5
"195",1,2,10,8,0.6875,2.5
"271",1,2,14,6,0.916666666666667,0.5
"309",1,2,16,5,1,0
"311",1,2,16,6,0.5,1.5
"337",1,2,17,9,0.642857142857143,2.5
"387",1,2,20,4,1,0
"445",1,2,23,3,0.8,1
"477",1,2,24,9,0.75,1.5
"507",1,2,26,4,0.8,1
"527",1,2,27,4,1,0
"541",1,2,28,1,0.5,1.5
"585",1,2,30,3,1,0
"597",1,2,30,9,1,0
"603",1,2,31,2,0.95,0.5
"633",1,2,32,7,0.75,2
"671",1,2,34,6,1,0
"681",1,2,35,1,0.625,1.5
"727",1,2,37,4,0.8,2
"793",1,2,40,7,0.7,1.5
"835",1,2,42,8,0.95,0.5
"885",1,2,45,3,0.875,0.5
"949",1,2,48,5,0.95,0.5
"963",1,2,49,2,0.833333333333333,1.5
"977",1,2,49,9,0.777777777777778,2
"1003",1,2,51,2,1,0
"1097",1,2,55,9,1,0
"1133",1,2,57,7,0.875,1
"1205",1,2,61,3,0.666666666666667,1
"1317",1,2,66,9,0.277777777777778,6.5
"1333",1,2,67,7,0.888888888888889,1
"1345",1,2,68,3,0.916666666666667,0.5
"1373",1,2,69,7,0.75,2.5
"1433",1,2,72,7,1,0
"1665",1,2,84,3,1,0
"1673",1,2,84,7,1,0
"1681",1,2,85,1,1,0
"1691",1,2,85,6,0.95,0.5
"1713",1,2,86,7,1,0
"1833",1,2,92,7,0.722222222222222,2.5
"1853",1,2,93,7,0.9,1
"1923",1,2,97,2,1,0
"1925",1,2,97,3,0.714285714285714,2
