"","nerr","nfault","system","iteration","wasted_effort_quality_fair","wasted_effort"
"8",1,2,1,4,0,3
"20",1,2,1,10,0.666666666666667,1
"36",1,2,2,8,0.142857142857143,6
"38",1,2,2,9,0.285714285714286,5
"78",1,2,4,9,0.333333333333333,2
"82",1,2,5,1,0.388888888888889,5.5
"92",1,2,5,6,0.555555555555556,4
"128",1,2,7,4,0.55,4.5
"132",1,2,7,6,0.6,4
"178",1,2,9,9,0.625,1.5
"190",1,2,10,5,0.875,1
"196",1,2,10,8,0.4375,4.5
"272",1,2,14,6,0.5,3
"310",1,2,16,5,0.666666666666667,1
"312",1,2,16,6,0.333333333333333,2
"338",1,2,17,9,0.357142857142857,4.5
"388",1,2,20,4,0.666666666666667,1
"446",1,2,23,3,0.6,2
"478",1,2,24,9,0.666666666666667,2
"508",1,2,26,4,0.2,4
"528",1,2,27,4,0.9,1
"542",1,2,28,1,0.333333333333333,2
"586",1,2,30,3,0.666666666666667,1
"598",1,2,30,9,0.666666666666667,1
"604",1,2,31,2,0.85,1.5
"634",1,2,32,7,0.5,4
"672",1,2,34,6,0.666666666666667,1
"682",1,2,35,1,0.25,3
"728",1,2,37,4,0.5,5
"794",1,2,40,7,0.3,3.5
"836",1,2,42,8,0.8,2
"886",1,2,45,3,0.625,1.5
"950",1,2,48,5,0.8,2
"964",1,2,49,2,0.5,4.5
"978",1,2,49,9,0.5,4.5
"1004",1,2,51,2,0.888888888888889,1
"1098",1,2,55,9,0.833333333333333,1
"1134",1,2,57,7,0.125,7
"1206",1,2,61,3,0.333333333333333,2
"1318",1,2,66,9,0.222222222222222,7
"1334",1,2,67,7,0.777777777777778,2
"1346",1,2,68,3,0.583333333333333,2.5
"1374",1,2,69,7,0.55,4.5
"1434",1,2,72,7,0.75,1
"1666",1,2,84,3,0.5,2
"1674",1,2,84,7,0.75,1
"1682",1,2,85,1,0.8,2
"1692",1,2,85,6,0.9,1
"1714",1,2,86,7,0.666666666666667,1
"1834",1,2,92,7,0.666666666666667,3
"1854",1,2,93,7,0.7,3
"1924",1,2,97,2,0.857142857142857,1
"1926",1,2,97,3,0.571428571428571,3
"1960",1,2,98,10,0.75,1
"1976",1,2,99,8,0.666666666666667,1
"1996",1,2,100,8,0.625,3
"2070",2,2,4,5,0.5,2
"2130",2,2,7,5,0.75,3
"2274",2,2,14,7,0.277777777777778,6.5
"2292",2,2,15,6,0.75,1
"2308",2,2,16,4,0.75,1
"2316",2,2,16,8,0.5,2
"2422",2,2,22,1,0.857142857142857,1
"2578",2,2,29,9,0.5,6.5
"2634",2,2,32,7,0.0384615384615384,12.5
"2640",2,2,32,10,0.833333333333333,2
"2646",2,2,33,3,0.590909090909091,4.5
"2686",2,2,35,3,0.941176470588235,1
"2806",2,2,41,3,0.928571428571429,1
"2808",2,2,41,4,0.857142857142857,2
"2828",2,2,42,4,0.944444444444444,1
"3032",2,2,52,6,0.833333333333333,1
"3118",2,2,56,9,0.1,4.5
"3128",2,2,57,4,0.678571428571429,4.5
"3132",2,2,57,6,0.346153846153846,8.5
"3236",2,2,62,8,0.75,1
"3294",2,2,65,7,0.916666666666667,1
"3758",2,2,88,9,0.125,3.5
"3806",2,2,91,3,0.7,4.5
"3938",2,2,97,9,0.45,5.5
"4190",3,2,10,5,0.583333333333333,5
"4458",3,2,23,9,0.75,2
"4562",3,2,29,1,0.368421052631579,12
"5108",3,2,56,4,0.5,4
"5120",3,2,56,10,0.583333333333333,2.5
"5126",3,2,57,3,0.714285714285714,6
"5306",3,2,66,3,0.894736842105263,2
"5542",3,2,78,1,0.933333333333333,1
"5908",3,2,96,4,0.466666666666667,8
"6300",4,2,15,10,0.821428571428571,5
"6704",4,2,36,2,0.333333333333333,14
"6772",4,2,39,6,0.365384615384615,16.5
"6832",4,2,42,6,0.583333333333333,2.5
"6862",4,2,44,1,0.833333333333333,2
"7268",4,2,64,4,0.705882352941176,5
"7472",4,2,74,6,0.5625,3.5
"7742",4,2,88,1,0.046875,30.5
"7744",4,2,88,2,0.75,9
"7750",4,2,88,5,0.816666666666667,5.5
"7756",4,2,88,8,0.234375,24.5
"7762",4,2,89,1,0.648148148148148,9.5
"7936",4,2,97,8,0.318181818181818,7.5
"8204",5,2,11,2,0.55,4.5
"8208",5,2,11,4,0.545454545454545,5
"8830",5,2,42,5,0.5,3.5
"8840",5,2,42,10,0.5,4.5
"8910",5,2,46,5,0.6,10
"8942",5,2,48,1,0.8,2
"9178",5,2,59,9,0.464285714285714,7.5
"9942",5,2,98,1,0,0
