"","generator","r","duration","size","perc_minimal","avg_card"
"1","Baseline",5,30001882.46,44.26,0,532.367850641646
"2","Heuristic",5,30002369.58,44.43,0.997199765589031,42.6262473957347
"3","Opts 1-2",5,30004529.53,69735.23,0.982015144250133,43.5712227228218
"4","Opt 1",5,30003281.23,44.43,0.997199765589031,42.6262473957347
"5","Opts 1-3",5,30007627.82,69018.59,0.98209596894088,43.5678305956502
"6","Baseline",15,30000613.45,147.66,0,451.190683274612
"7","Heuristic",15,30000781.12,145.74,0.997871745048429,18.4454293374388
"8","Opts 1-2",15,30002992.48,51976.7,0.985180188491697,19.1726896580913
"9","Opt 1",15,30001152.36,145.74,0.997871745048429,18.4454293374388
"10","Opts 1-3",15,30004217.94,51919.06,0.98537217170327,19.1706579836109
"11","Baseline",25,30000561.39,248.13,0,394.183041435237
"12","Heuristic",25,30000761.12,246.11,0.998786120636155,12.1768289910362
"13","Opts 1-2",25,30003074.9,63482.78,0.971211478804932,12.9740696850912
"14","Opt 1",25,30000624.91,246.11,0.998786120636155,12.1768289910362
"15","Opts 1-3",25,30003544.62,62123.4,0.971240580021657,12.9739564441492
"16","Baseline",35,30000533.92,346.99,5.49467137638499e-05,338.472835929278
"17","Heuristic",35,30000566.23,345.97,0.99741702927442,9.17067897208447
"18","Opts 1-2",35,30002606.09,65914.68,0.961460881765617,9.98248079406077
"19","Opt 1",35,30000616.33,345.97,0.99741702927442,9.17067897208447
"20","Opts 1-3",35,30003556.77,65794.74,0.961451142140234,9.98246420101295
"21","Baseline",45,30000469.52,446.38,0.000271207593192006,282.916806206797
"22","Heuristic",45,30000521.8,446.61,0.994367613488314,7.32973971188988
"23","Opts 1-2",45,30003456.79,92461.47,0.968509177058947,8.00574170733874
"24","Opt 1",45,30000758.78,446.61,0.994367613488314,7.32973971188988
"25","Opts 1-3",45,30003810.43,91894.32,0.968485915203955,8.00550135299193
"26","Baseline",55,30000440.41,547.58,0.000454843110198678,231.262916700584
"27","Heuristic",55,30000487.83,544.49,0.999796952925593,5.99441349483292
"28","Opts 1-2",55,30002699.6,77881.7,0.848151476525744,6.84433636691627
"29","Opt 1",55,30000444.72,544.49,0.999796952925593,5.99441349483292
"30","Opts 1-3",55,30003485.89,78023.25,0.847798396395928,6.84581021516131
"31","Baseline",65,30000317.44,645.65,0.000400158904486912,182.08205514886
"32","Heuristic",65,30000293.45,646.76,0.999797967667881,4.99705045736572
"33","Opts 1-2",65,30002490.3,73694.45,0.772682897755455,5.86308554128544
"34","Opt 1",65,30000331.72,646.76,0.999797967667881,4.99705045736572
"35","Opts 1-3",65,30002584.17,74134.53,0.772392527314154,5.86358802967789
"36","Baseline",75,30000333.45,764.64,0.000998755914870556,131.483623173252
"37","Heuristic",75,30000377.21,748.03,0.977184376068089,4.09565263231009
"38","Opts 1-2",75,30002782.64,100161.19,0.770698178413965,4.97811153164917
"39","Opt 1",75,30000620.23,748.03,0.977184376068089,4.09565263231009
"40","Opts 1-3",75,30002898.09,98165.91,0.770566025818352,4.97840462922187
"41","Baseline",85,30000439.45,904.04,0.00170519810748905,82.2221313927844
"42","Heuristic",85,30000211.45,847.93,0.931308706533985,3.5591705136079
"43","Opts 1-2",85,30002959.58,137765.87,0.786285256738805,4.10109359033632
"44","Opt 1",85,30000401.75,847.93,0.931308706533985,3.5591705136079
"45","Opts 1-3",85,30003105.45,137479.54,0.787348709102731,4.09966482035206
"46","Baseline",95,30000620.88,1135.66,0.00676246744559175,31.2284672133234
"47","Heuristic",95,30000289.65,948.44,0.932664159747072,2.75609496895633
"48","Opts 1-2",95,30004552.36,198790.93,0.883034445979114,3.03158274572064
"49","Opt 1",95,30000119.93,948.44,0.932664159747072,2.75609496895633
"50","Opts 1-3",95,30005310.92,198686.31,0.883418784843638,3.03116217156735
