"","avg_card","date","duration","generator","iteration","perc_minimal","size","r","MN"
"1",6,"2014-May-25 21:52:22",131,"Opts 1-3",1,1,1,5,10
"2",6,"2014-May-25 21:52:22",411,"Opts 1-2",1,1,1,5,10
"3",6,"2014-May-25 21:52:22",1395,"Opt 1",1,1,1,5,10
"4",4,"2014-May-25 21:52:22",46,"Opts 1-2",2,1,1,5,10
"5",4,"2014-May-25 21:52:22",32,"Opts 1-3",2,1,1,5,10
"6",4,"2014-May-25 21:52:22",1265,"Opt 1",2,1,1,5,10
"7",7,"2014-May-25 21:52:22",2020,"Opt 1",3,1,1,5,10
"8",7,"2014-May-25 21:52:22",420,"Opts 1-2",3,1,1,5,10
"9",7,"2014-May-25 21:52:22",42,"Opts 1-3",3,1,1,5,10
"10",5,"2014-May-25 21:52:22",47,"Opts 1-3",4,1,1,5,10
"11",5,"2014-May-25 21:52:22",187,"Opts 1-2",4,1,1,5,10
"12",4,"2014-May-25 21:52:26",4202195,"Heuristic",2,1,1,5,10
"13",5,"2014-May-25 21:52:26",649,"Opt 1",4,1,1,5,10
"14",6,"2014-May-25 21:52:26",22,"Opts 1-3",5,1,1,5,10
"15",5,"2014-May-25 21:52:27",4565824,"Heuristic",4,1,1,5,10
"16",6,"2014-May-25 21:52:27",105,"Opts 1-2",5,1,1,5,10
"17",6,"2014-May-25 21:52:27",670,"Opt 1",5,1,1,5,10
"18",6,"2014-May-25 21:52:27",5011963,"Heuristic",1,1,1,5,10
"19",6,"2014-May-25 21:52:27",25,"Opts 1-3",6,1,2,5,10
"20",7,"2014-May-25 21:52:28",5576435,"Heuristic",3,1,1,5,10
"21",6,"2014-May-25 21:52:28",101,"Opts 1-2",6,1,2,5,10
"22",6,"2014-May-25 21:52:28",640,"Opt 1",6,1,2,5,10
"23",6,"2014-May-25 21:52:31",4955866,"Heuristic",5,1,1,5,10
"24",6,"2014-May-25 21:52:31",22,"Opts 1-3",7,1,1,5,10
"25",6,"2014-May-25 21:52:31",4292830,"Heuristic",6,1,2,5,10
"26",6,"2014-May-25 21:52:31",79,"Opts 1-2",7,1,1,5,10
"27",6,"2014-May-25 21:52:31",683,"Opt 1",7,1,1,5,10
"28",6,"2014-May-25 21:52:36",4855716,"Heuristic",7,1,1,5,10
"29",4,"2014-May-25 21:52:36",22,"Opts 1-3",8,1,1,5,10
"30",4,"2014-May-25 21:52:40",3914978,"Heuristic",8,1,1,5,10
"31",4,"2014-May-25 21:52:40",41,"Opts 1-2",8,1,1,5,10
"32",4,"2014-May-25 21:52:40",956,"Opt 1",8,1,1,5,10
"33",4,"2014-May-25 21:52:42",19395949,"Baseline",2,1,1,5,10
"34",6,"2014-May-25 21:52:42",23,"Opts 1-3",9,1,1,5,10
"35",5,"2014-May-25 21:52:44",22181984,"Baseline",4,1,1,5,10
"36",6,"2014-May-25 21:52:44",82,"Opts 1-2",9,1,1,5,10
"37",6,"2014-May-25 21:52:44",1004,"Opt 1",9,1,1,5,10
"38",6,"2014-May-25 21:52:46",4898433,"Heuristic",9,1,1,5,10
"39",6,"2014-May-25 21:52:46",18,"Opts 1-3",10,1,1,5,10
"40",6,"2014-May-25 21:52:47",24713776,"Baseline",1,1,1,5,10
"41",6,"2014-May-25 21:52:47",55,"Opts 1-2",10,1,1,5,10
"42",6,"2014-May-25 21:52:47",653,"Opt 1",10,1,1,5,10
"43",7,"2014-May-25 21:52:49",26813916,"Baseline",3,1,1,5,10
"44",6,"2014-May-25 21:52:49",25,"Opts 1-3",11,1,1,5,10
"45",6,"2014-May-25 21:52:50",22320719,"Baseline",6,1,2,5,10
"46",6,"2014-May-25 21:52:50",57,"Opts 1-2",11,1,1,5,10
"47",6,"2014-May-25 21:52:50",681,"Opt 1",11,1,1,5,10
"48",6,"2014-May-25 21:52:51",4799585,"Heuristic",10,1,1,5,10
"49",5,"2014-May-25 21:52:51",21,"Opts 1-3",12,1,1,5,10
"50",6,"2014-May-25 21:52:51",24612769,"Baseline",5,1,1,5,10
"51",5,"2014-May-25 21:52:51",110,"Opts 1-2",12,1,1,5,10
"52",5,"2014-May-25 21:52:51",627,"Opt 1",12,1,1,5,10
"53",6,"2014-May-25 21:52:54",4970073,"Heuristic",11,1,1,5,10
"54",6,"2014-May-25 21:52:54",22,"Opts 1-3",13,1,1,5,10
"55",5,"2014-May-25 21:52:56",4286653,"Heuristic",12,1,1,5,10
"56",6,"2014-May-25 21:52:56",87,"Opts 1-2",13,1,1,5,10
"57",6,"2014-May-25 21:52:56",1036,"Opt 1",13,1,1,5,10
"58",6,"2014-May-25 21:52:56",24436535,"Baseline",7,1,1,5,10
"59",5,"2014-May-25 21:52:56",25,"Opts 1-3",14,1,2,5,10
"60",6,"2014-May-25 21:52:59",4887219,"Heuristic",13,1,1,5,10
"61",5,"2014-May-25 21:52:59",64,"Opts 1-2",14,1,2,5,10
