"","r","MN","generator","duration","size","perc_minimal","avg_card"
"1",5,10,"Baseline",23490240.29,1.28,1,5.91
"2",5,10,"Heuristic",4623406.43,1.28,1,5.91
"3",5,10,"Opts 1-2",130.86,1.28,1,5.91
"4",5,10,"Opt 1",813.62,1.28,1,5.91
"5",5,10,"Opts 1-3",26.58,1.28,1,5.91
"6",15,10,"Baseline",17719779.99,3.11,1,4.98483333333333
"7",15,10,"Heuristic",3339638.98,3.11,1,4.98483333333333
"8",15,10,"Opts 1-2",152.59,3.11,1,4.98483333333333
"9",15,10,"Opt 1",714.77,3.11,1,4.98483333333333
"10",15,10,"Opts 1-3",32.93,3.11,1,4.98483333333333
"11",25,10,"Baseline",10846080.57,7.62,1,4.29381803381803
"12",25,10,"Heuristic",1989375.69,7.62,1,4.29381803381803
"13",25,10,"Opts 1-2",158.26,7.62,1,4.29381803381803
"14",25,10,"Opt 1",598.6,7.62,1,4.29381803381803
"15",25,10,"Opts 1-3",50.34,7.62,1,4.29381803381803
"16",35,10,"Baseline",5491289.24,12.92,1,3.70929185948808
"17",35,10,"Heuristic",1002338.68,12.92,1,3.70929185948808
"18",35,10,"Opts 1-2",151.71,12.92,1,3.70929185948808
"19",35,10,"Opt 1",499.94,12.92,1,3.70929185948808
"20",35,10,"Opts 1-3",65.04,12.92,1,3.70929185948808
"21",45,10,"Baseline",2125311.02,19.97,1,3.3468776233539
"22",45,10,"Heuristic",387027.59,19.97,1,3.3468776233539
"23",45,10,"Opts 1-2",140.76,19.97,1,3.3468776233539
"24",45,10,"Opt 1",351.72,19.97,1,3.3468776233539
"25",45,10,"Opts 1-3",96.52,19.97,1,3.3468776233539
"26",55,10,"Baseline",587529.48,25.44,1,2.91290458142944
"27",55,10,"Heuristic",106469.85,25.44,1,2.91290458142944
"28",55,10,"Opts 1-2",127.35,25.44,1,2.91290458142944
"29",55,10,"Opt 1",250.76,25.44,1,2.91290458142944
"30",55,10,"Opts 1-3",94.95,25.44,1,2.91290458142944
"31",65,10,"Baseline",190694.42,23.56,1,2.5285714108748
"32",65,10,"Heuristic",39447.42,23.56,1,2.5285714108748
"33",65,10,"Opts 1-2",142.14,23.56,1,2.5285714108748
"34",65,10,"Opt 1",236.39,23.56,1,2.5285714108748
"35",65,10,"Opts 1-3",121.64,23.56,1,2.5285714108748
"36",75,10,"Baseline",30644.18,24.66,1,2.14402677799034
"37",75,10,"Heuristic",5435.79,24.66,1,2.14402677799034
"38",75,10,"Opts 1-2",115.12,24.66,1,2.14402677799034
"39",75,10,"Opt 1",149.61,24.66,1,2.14402677799034
"40",75,10,"Opts 1-3",111.68,24.66,1,2.14402677799034
"41",85,10,"Baseline",4881.2,23.47,1,1.93450089465252
"42",85,10,"Heuristic",879.44,23.47,1,1.93450089465252
"43",85,10,"Opts 1-2",84.04,23.47,1,1.93450089465252
"44",85,10,"Opt 1",96.95,23.47,1,1.93450089465252
"45",85,10,"Opts 1-3",87.39,23.47,1,1.93450089465252
"46",95,10,"Baseline",472.74,12.19,1,1.44312308679639
"47",95,10,"Heuristic",103.23,12.19,1,1.44312308679639
"48",95,10,"Opts 1-2",47.21,12.19,1,1.44312308679639
"49",95,10,"Opt 1",60.42,12.19,1,1.44312308679639
"50",95,10,"Opts 1-3",52.43,12.19,1,1.44312308679639
"51",5,15,"Opts 1-2",2736.89,2.34,1,8.6175
"52",5,15,"Opt 1",46270.19,2.34,1,8.6175
"53",5,15,"Opts 1-3",101,2.34,1,8.6175
"54",15,15,"Opts 1-2",3354.93,14.72,1,6.77764601862045
"55",15,15,"Opt 1",39069.62,14.72,1,6.77764601862045
"56",15,15,"Opts 1-3",248.97,14.72,1,6.77764601862045
"57",25,15,"Opts 1-2",3343.88,51.49,1,5.73236012336255
"58",25,15,"Opt 1",29953.31,51.49,1,5.73236012336255
"59",25,15,"Opts 1-3",650.99,51.49,1,5.73236012336255
"60",35,15,"Opts 1-2",2541.81,103.95,1,4.65054178672804
"61",35,15,"Opt 1",18302.22,103.95,1,4.65054178672804
"62",35,15,"Opts 1-3",1052.75,103.95,1,4.65054178672804
"63",45,15,"Opts 1-2",1673.91,129.95,1,3.97413946381481
"64",45,15,"Opt 1",8353.02,129.95,1,3.97413946381481
"65",45,15,"Opts 1-3",1071.08,129.95,1,3.97413946381481
"66",55,15,"Opts 1-2",1100.64,127.13,1,3.415114024269
"67",55,15,"Opt 1",3790.45,127.13,1,3.415114024269
"68",55,15,"Opts 1-3",846.11,127.13,1,3.415114024269
"69",65,15,"Opts 1-2",764.36,116.97,1,2.9531688309507
"70",65,15,"Opt 1",1577.93,116.97,1,2.9531688309507
"71",65,15,"Opts 1-3",667.83,116.97,1,2.9531688309507
"72",75,15,"Opts 1-2",406.8,82.03,1,2.50243484744016
"73",75,15,"Opt 1",647.11,82.03,1,2.50243484744016
"74",75,15,"Opts 1-3",391.65,82.03,1,2.50243484744016
"75",85,15,"Opts 1-2",242.11,62.92,1,2.06812454199007
"76",85,15,"Opt 1",291.26,62.92,1,2.06812454199007
"77",85,15,"Opts 1-3",245.03,62.92,1,2.06812454199007
"78",95,15,"Opts 1-2",107.66,33.5,1,1.73818588614035
"79",95,15,"Opt 1",115.48,33.5,1,1.73818588614035
