"","id","avg_card","date","duration","generator","iteration","perc_minimal","size","r","size_minimal"
"1",1762905,9.16362476," 2014-Jun-04 21:26:26",163.05798,"mhs_random_1",73,1,592748,25,592748
"2",4141857,9.12977886," 2014-Jun-04 08:47:40",119.228768,"mhs_stride_2",37,1,824072,25,824072
"3",4510261,9.12709236," 2014-Jun-04 18:29:20",92.560877,"mhs_stride_4",66,1,891314,25,891314
"4",8894202,9.17611694," 2014-Jun-04 21:09:59",52.261148,"mhs_random_3",72,1,594010,25,594010
"5",9499715,8.98281097," 2014-Jun-04 14:49:37",41.624333,"mhs_stride_3",55,1,448958,25,448958
"6",12843259,8.61904144," 2014-Jun-03 21:31:40",45.240876,"mhs_random_4",4,1,629903,25,629903
"7",18069616,9.0121336," 2014-Jun-04 02:36:53",33.106873,"mhs_random_4",20,1,577826,25,577826
"8",20223196,9.17742825," 2014-Jun-04 17:17:11",236.969338,"mhs_random_1",64,1,774274,25,774274
"9",25345413,9.25405312," 2014-Jun-04 19:46:33",50.335014,"mhs_stride_5",69,1,550644,25,550644
"10",27168071,9.2235775," 2014-Jun-04 03:31:21",45.150329,"mhs_random_6",23,1,682286,25,682286
"11",42442276,8.67440128," 2014-Jun-04 00:37:35",62.953027,"mhs_random_1",13,1,324657,25,324657
"12",42635051,8.6921711," 2014-Jun-04 05:16:45",156.916555,"mhs_stride_1",28,1,685972,25,685972
"13",43546595,9.04508018," 2014-Jun-05 01:38:33",45.719325,"mhs_random_6",85,1,731614,25,731614
"14",43603343,8.78878307," 2014-Jun-04 09:51:04",41.918787,"mhs_stride_4",41,1,462373,25,462373
"15",47088857,8.54638481," 2014-Jun-03 23:17:31",27.818644,"mhs_random_5",9,1,559196,25,559196
"16",62088992,9.04508018," 2014-Jun-05 01:44:50",265.710317,"mhs_stride_1",85,1,731614,25,731614
"17",63150149,8.67734051," 2014-Jun-05 04:51:22",43.968463,"mhs_stride_6",94,1,605983,25,605983
"18",63927717,8.50803757," 2014-Jun-03 22:11:17",14.178428,"mhs_stride_7",6,1,377592,25,377592
"19",65971287,9.44686317," 2014-Jun-04 13:26:31",45.474826,"mhs_stride_4",51,1,596905,25,596905
"20",68250718,9.10426617," 2014-Jun-04 19:53:46",272.006455,"mhs_random_1",70,1,559989,25,559989
"21",70517537,8.72876167," 2014-Jun-05 00:19:49",39.067375,"mhs_stride_6",80,1,587974,25,587974
"22",70891127,8.78878307," 2014-Jun-04 09:47:59",148.760184,"mhs_stride_1",41,1,462373,25,462373
"23",81611437,9.4477911," 2014-Jun-04 15:33:23",11.452892,"mhs_random_8",58,1,378621,25,378621
"24",85150539,8.66373158," 2014-Jun-04 04:00:45",154.114709,"mhs_stride_1",24,1,507907,25,507907
"25",88140334,8.94621277," 2014-Jun-04 12:24:07",18.961553,"mhs_random_7",47,1,488019,25,488019
"26",88830219,8.49604034," 2014-Jun-05 03:43:38",23.243802,"mhs_stride_5",90,1,474913,25,474913
"27",91232521,9.45475578," 2014-Jun-03 23:03:24",139.812141,"mhs_stride_3",8,1,843992,25,843992
"28",91410622,8.72023678," 2014-Jun-04 15:28:51",25.045945,"mhs_stride_7",57,1,479866,25,479866
"29",91848537,8.7671442," 2014-Jun-04 19:18:16",166.475315,"mhs_stride_2",68,1,684521,25,684521
"30",94293184,9.17742825," 2014-Jun-04 17:41:17",58.647579,"mhs_stride_7",64,1,774274,25,774274
"31",97484918,8.4618206," 2014-Jun-04 16:02:18",29.892615,"mhs_random_6",60,1,548546,25,548546
"32",97808227,8.93907642," 2014-Jun-03 21:19:03",117.782404,"mhs_stride_1",3,1,499020,25,499020
"33",98350759,9.65465832," 2014-Jun-05 05:57:22",161.184971,"mhs_stride_1",98,1,583572,25,583572
"34",101915715,8.88408375," 2014-Jun-04 01:17:08",7.417206,"mhs_random_5",16,1,217908,25,217908
"35",106010668,8.53958035," 2014-Jun-04 10:41:25",35.883726,"mhs_stride_4",43,1,385268,25,385268
"36",108869027,9.2834444," 2014-Jun-05 00:25:35",69.511433,"mhs_random_2",81,1,537968,25,537968
"37",111346980,8.95815086," 2014-Jun-05 06:38:11",35.139015,"mhs_stride_7",100,1,581301,25,581301
"38",116304334,9.2235775," 2014-Jun-04 03:45:10",83.210584,"mhs_stride_4",23,1,682286,25,682286
"39",116552575,8.79619884," 2014-Jun-04 06:53:34",47.53351,"mhs_stride_8",32,1,762661,25,762661
"40",116573788,8.74178219," 2014-Jun-05 03:08:46",52.331918,"mhs_random_8",89,1,799404,25,799404
"41",120169250,8.97651958," 2014-Jun-04 17:12:01",53.610547,"mhs_stride_7",63,1,678059,25,678059
"42",121989281,8.58397198," 2014-Jun-03 21:53:55",20.569375,"mhs_random_8",5,1,552285,25,552285
"43",123383809,8.86029053," 2014-Jun-04 07:28:25",106.762732,"mhs_stride_4",33,1,646814,25,646814
"44",128557712,8.91949749," 2014-Jun-04 23:23:36",72.575251,"mhs_stride_2",77,1,473129,25,473129
"45",129858015,8.98281097," 2014-Jun-04 14:45:46",15.043941,"mhs_random_8",55,1,448958,25,448958
"46",129931931,9.7653532," 2014-Jun-04 04:11:48",30.54085,"mhs_random_4",25,1,565159,25,565159
"47",130009327,8.86229515," 2014-Jun-04 22:06:53",43.772339,"mhs_stride_6",74,1,544772,25,544772
"48",131641400,9.03636074," 2014-Jun-04 06:08:09",53.595052,"mhs_stride_8",30,1,693887,25,693887
"49",132195088,9.12094116," 2014-Jun-04 05:04:47",47.093199,"mhs_stride_7",27,1,643398,25,643398
"50",133649492,9.09310913," 2014-Jun-04 03:04:11",37.581705,"mhs_stride_6",21,1,634590,25,634590
"51",138613989,8.81549644," 2014-Jun-04 08:06:17",35.014242,"mhs_random_3",35,1,534635,25,534635
"52",143781884,8.94621277," 2014-Jun-04 12:30:43",25.640499,"mhs_stride_7",47,1,488019,25,488019
"53",146086408,8.95815086," 2014-Jun-05 06:35:55",44.675093,"mhs_stride_4",100,1,581301,25,581301
"54",150787986,8.88408375," 2014-Jun-04 01:16:25",17.981563,"mhs_random_2",16,1,217908,25,217908
"55",152438230,9.47279644," 2014-Jun-03 22:16:23",85.029009,"mhs_random_2",7,1,676356,25,676356
"56",160014581,8.95815086," 2014-Jun-05 06:34:02",69.33069,"mhs_stride_2",100,1,581301,25,581301
"57",164137924,9.16362476," 2014-Jun-04 21:29:14",71.052246,"mhs_random_3",73,1,592748,25,592748
"58",168932471,9.16362476," 2014-Jun-04 21:32:42",33.202017,"mhs_random_7",73,1,592748,25,592748
"59",169890560,9.10426617," 2014-Jun-04 19:55:33",97.719172,"mhs_random_2",70,1,559989,25,559989
"60",170927540,9.21713924," 2014-Jun-04 09:24:41",63.183267,"mhs_random_2",40,1,483528,25,483528
"61",173901324,8.81803322," 2014-Jun-04 06:15:56",29.917059,"mhs_random_6",31,1,563059,25,563059
"62",175740530,9.01583481," 2014-Jun-04 01:05:07",21.398905,"mhs_random_7",15,1,577525,25,577525
"63",176190138,8.71692181," 2014-Jun-05 02:19:06",87.672132,"mhs_random_2",87,1,535626,25,535626
"64",177718358,8.67440128," 2014-Jun-04 00:38:08",27.864277,"mhs_random_2",13,1,324657,25,324657
"65",177794607,8.91906929," 2014-Jun-05 01:02:52",69.842708,"mhs_stride_4",82,1,666719,25,666719
"66",178308276,8.85536957," 2014-Jun-05 04:24:37",143.616997,"mhs_stride_1",93,1,499051,25,499051
