"","name","par_strategy","nproc","generator","r","id","avg_card","date","duration","iteration","perc_minimal","size","size_minimal","mhspersec","totaltime"
"1","mhs","Random",1,"mhs_random_1",25,2019456125.37,9.0043790626,793,188.50671914,50.5,1,563576.59,563576.59,2989.68966502167,188.50671914
"2","mhs","Random",2,"mhs_random_2",25,2227828129.77,9.0043790626,794,88.67735102,50.5,1,563576.59,563576.59,3177.68056621861,177.35470204
"3","mhs","Random",3,"mhs_random_3",25,2114105262.84,9.0043790626,795,59.38610299,50.5,1,563576.59,563576.59,3163.34721214097,178.15830897
"4","mhs","Random",4,"mhs_random_4",25,2092809156.79,9.0043790626,796,45.23055373,50.5,1,563576.59,563576.59,3115.02150385016,180.92221492
"5","mhs","Random",5,"mhs_random_5",25,2590483516.14,9.0043790626,797,36.70269195,50.5,1,563576.59,563576.59,3071.03680987628,183.51345975
"6","mhs","Random",6,"mhs_random_6",25,2131444828.82,9.0043790626,798,31.10188365,50.5,1,563576.59,563576.59,3020.05604302576,186.6113019
"7","mhs","Random",7,"mhs_random_7",25,2143972054.26,9.0043790626,799,27.86266115,50.5,1,563576.59,563576.59,2889.56395784081,195.03862805
"8","mhs","Random",8,"mhs_random_8",25,2180246921.75,9.0043790626,800,25.20979489,50.5,1,563576.59,563576.59,2794.43264244662,201.67835912
"9","mhs","Stride",1,"mhs_stride_1",25,2060475688.18,9.0043790626,801,190.81275827,50.5,1,563576.59,563576.59,2953.55821649273,190.81275827
"10","mhs","Stride",2,"mhs_stride_2",25,2191829991.13,9.0043790626,802,94.67071785,50.5,1,563576.59,563576.59,2976.5095416988,189.3414357
"11","mhs","Stride",3,"mhs_stride_3",25,2271189316.96,9.0043790626,803,69.65447066,50.5,1,563576.59,563576.59,2697.010853048,208.96341198
"12","mhs","Stride",4,"mhs_stride_4",25,1975959785.28,9.0043790626,804,55.95649004,50.5,1,563576.59,563576.59,2517.92325428709,223.82596016
"13","mhs","Stride",5,"mhs_stride_5",25,2026276198.32,9.0043790626,805,47.29445769,50.5,1,563576.59,563576.59,2383.26695146422,236.47228845
"14","mhs","Stride",6,"mhs_stride_6",25,2124689685.62,9.0043790626,806,42.35755994,50.5,1,563576.59,563576.59,2217.53641616087,254.14535964
"15","mhs","Stride",7,"mhs_stride_7",25,2130952687.34,9.0043790626,807,39.39004636,50.5,1,563576.59,563576.59,2043.94127117172,275.73032452
"16","mhs","Stride",8,"mhs_stride_8",25,2031441041.12,9.0043790626,808,37.40047904,50.5,1,563576.59,563576.59,1883.58747155769,299.20383232
"17","mhs","Random",1,"mhs_random_1",50,2004949336.46,5.2194340612,2393,5.66848713,50.5,1,60253.48,60253.48,10629.5522276329,5.66848713
"18","mhs","Random",2,"mhs_random_2",50,2127260687.93,5.2194340612,2394,3.25013594,50.5,1,60253.48,60253.48,9269.378437137,6.50027188
"19","mhs","Random",3,"mhs_random_3",50,2043422085.47,5.2194340612,2395,2.11122296,50.5,1,60253.48,60253.48,9513.20334889373,6.33366888
"20","mhs","Random",4,"mhs_random_4",50,2161163449.29,5.2194340612,2396,1.74334905,50.5,1,60253.48,60253.48,8640.47850887922,6.9733962
"21","mhs","Random",5,"mhs_random_5",50,2195798919.15,5.2194340612,2397,1.44660995,50.5,1,60253.48,60253.48,8330.30078356643,7.23304975
"22","mhs","Random",6,"mhs_random_6",50,2087091530.25,5.2194340612,2398,1.32850341,50.5,1,60253.48,60253.48,7559.06728659934,7.97102046
"23","mhs","Random",7,"mhs_random_7",50,2099468422.58,5.2194340612,2399,1.21398204,50.5,1,60253.48,60253.48,7090.4179109602,8.49787428
"24","mhs","Random",8,"mhs_random_8",50,2107027594.6,5.2194340612,2400,1.14817311,50.5,1,60253.48,60253.48,6559.712062931,9.18538488
"25","mhs","Stride",1,"mhs_stride_1",50,2082502056.8,5.2194340612,2401,5.73776858,50.5,1,60253.48,60253.48,10501.204285238,5.73776858
"26","mhs","Stride",2,"mhs_stride_2",50,2360712444.19,5.2194340612,2402,3.34386311,50.5,1,60253.48,60253.48,9009.5613991806,6.68772622
"27","mhs","Stride",3,"mhs_stride_3",50,2236779331.37,5.2194340612,2403,2.21893332,50.5,1,60253.48,60253.48,9051.41815317521,6.65679996
"28","mhs","Stride",4,"mhs_stride_4",50,2363789296.52,5.2194340612,2404,1.91350413,50.5,1,60253.48,60253.48,7872.13874474366,7.65401652
"29","mhs","Stride",5,"mhs_stride_5",50,2218782605.43,5.2194340612,2405,1.58707856,50.5,1,60253.48,60253.48,7593.00535192158,7.9353928
"30","mhs","Stride",6,"mhs_stride_6",50,2115109974.73,5.2194340612,2406,1.46992503,50.5,1,60253.48,60253.48,6831.80873970604,8.81955018
"31","mhs","Stride",7,"mhs_stride_7",50,2503405693.94,5.2194340612,2407,1.34941085,50.5,1,60253.48,60253.48,6378.81339104395,9.44587595
